Lattitude,Longitude,Depth,Month,Year,mag(dec),Magnitude
19.25,145.62,131.6,1,1965,6.2,6
1.86,127.35,80,1,1965,8.4,8
-20.58,173.97,20,1,1965,1.9,2
-59.08,23.56,15,1,1965,6.2,6
11.94,126.43,15,1,1965,9.7,10
-13.41,166.63,35,1,1965,2.4,2
27.36,87.87,20,1,1965,1.9,2
-13.31,166.21,35,1,1965,4.5,5
-56.45,27.04,95,1,1965,4.7,5
-24.56,178.49,565,1,1965,6.2,6
-6.81,108.99,227.9,1,1965,6.6,7
-2.61,125.95,20,1,1965,0.6,1
54.64,161.7,55,1,1965,2,2
-18.7,177.86,482.9,2,1965,5.4,5
37.52,73.25,15,2,1965,2.9,3
-51.84,139.74,10,2,1965,3.4,3
51.25,178.72,30.3,2,1965,7.6,8
51.64,175.06,30,2,1965,6.7,7
52.53,172.01,25,2,1965,8.9,9
51.63,175.75,25,2,1965,4.7,5
51.04,177.85,25,2,1965,5.3,5
51.73,173.98,20,2,1965,5.6,6
51.78,173.06,10,2,1965,2,2
52.61,172.59,24,2,1965,0.5,1
51.83,174.37,31.8,2,1965,6.3,6
51.95,173.97,20,2,1965,6.1,6
51.44,179.61,30,2,1965,1,1
52.77,171.97,30,2,1965,3.6,4
51.77,174.7,20,2,1965,0.9,1
52.98,171.09,25,2,1965,8.2,8
52.99,170.87,25,2,1965,3.1,3
51.54,175.05,25,2,1965,4.6,5
13.25,44.92,10,2,1965,6.9,7
51.81,174.21,10,2,1965,9.5,10
51.76,174.84,25,2,1965,1.6,2
52.44,174.32,39.5,2,1965,3.6,4
51.95,173.84,30,2,1965,2.6,3
51.74,174.57,20,2,1965,4.4,4
51.49,176.56,30.4,2,1965,9.3,9
53.01,162.01,17.8,2,1965,8.8,9
52.18,175.51,27.7,2,1965,4.6,5
52.08,172.92,30.1,2,1965,1.3,1
51.74,175.21,37.4,2,1965,9.1,9
52.06,174.12,17.5,2,1965,4.3,4
53.19,161.86,22.5,2,1965,9,9
51.45,176.47,25.2,2,1965,8.1,8
51.26,173.39,17.7,2,1965,6.6,7
52.03,175.41,25,2,1965,3.2,3
51.29,179.09,25,2,1965,5.5,6
55.22,165.43,32.5,2,1965,8.3,8
-18.72,169.39,200,2,1965,4.3,4
52.82,171.9,30,2,1965,5,5
52.19,172.75,25,2,1965,9.7,10
51.01,179.33,20,2,1965,4.2,4
3.03,125.95,100,2,1965,9.3,9
38.91,142.1,53.5,2,1965,9.3,9
51.69,176.45,30,2,1965,7.3,7
21.53,143.08,340,2,1965,7.5,8
25.01,94.19,55,2,1965,7.1,7
-7.25,126.72,35,2,1965,8.1,8
51.42,179.36,40.4,2,1965,8,8
-15.34,172.89,35,2,1965,7.9,8
-25.63,70.68,35,2,1965,7.7,8
-5.46,151.98,40,2,1965,8.2,8
51.88,173.07,20.3,2,1965,7.8,8
6.75,72.97,160,2,1965,8.7,9
28.13,112.21,10,2,1965,3.6,4
-5.38,152.12,30,3,1965,9.4,9
21.1,121.22,30,3,1965,9.9,10
-5.37,152.06,40,3,1965,3.7,4
21.12,121.15,30,3,1965,3,3
52.2,173.91,33.6,3,1965,8.6,9
15.4,92.62,105.2,3,1965,1,1
38.4,28.23,10,3,1965,9.5,10
-27.15,177.26,15,3,1965,5,5
-5.51,151.82,14.8,3,1965,9.6,10
53.05,171.31,25.7,3,1965,3.9,4
-5.49,146.99,200,3,1965,4.6,5
50.93,179.51,30,3,1965,4.5,5
52.39,174.94,35,3,1965,0.6,1
-27.03,63.21,560.8,3,1965,3.8,4
52.42,174.24,35,3,1965,0.9,1
-18.43,132.92,10,3,1965,9.5,10
20.13,121.46,45,3,1965,2,2
-30,177.97,50,3,1965,9.3,9
39.2,23.86,15,3,1965,0.6,1
53.29,162.33,20,3,1965,4.5,5
36.41,70.72,207.8,3,1965,6.6,7
22.64,121.12,15,3,1965,2.1,2
40.7,143.03,32.1,3,1965,7.2,7
52.79,171.82,25,3,1965,8.6,9
-20.04,175.89,224.9,3,1965,6,6
-55.86,26.76,35,3,1965,5.6,6
